run, prob, size, StandardNativeTree, OptimizedNativeTree, StandardIfTree, OptimizedIfTree
./cpp/p_0.6_s_10/,.0.6,10,
./cpp/p_0.6_s_15/,.0.6,15,
./cpp/p_0.6_s_20/,.0.6,20,
./cpp/p_0.6_s_25/,.0.6,25,
./cpp/p_0.6_s_30/,.0.6,30,
./cpp/p_0.6_s_35/,.0.6,35,
./cpp/p_0.6_s_40/,.0.6,40,
./cpp/p_0.6_s_45/,.0.6,45,
./cpp/p_0.6_s_5/,.0.6,5,
./cpp/p_0.6_s_50/,.0.6,50,
./cpp/p_0.7_s_10/,.0.7,10,
./cpp/p_0.7_s_15/,.0.7,15,
./cpp/p_0.7_s_20/,.0.7,20,
./cpp/p_0.7_s_25/,.0.7,25,
./cpp/p_0.7_s_30/,.0.7,30,
./cpp/p_0.7_s_35/,.0.7,35,
./cpp/p_0.7_s_40/,.0.7,40,
./cpp/p_0.7_s_45/,.0.7,45,
./cpp/p_0.7_s_5/,.0.7,5,
./cpp/p_0.7_s_50/,.0.7,50,
./cpp/p_0.8_s_10/,.0.8,10,
./cpp/p_0.8_s_15/,.0.8,15,
./cpp/p_0.8_s_20/,.0.8,20,
./cpp/p_0.8_s_25/,.0.8,25,
./cpp/p_0.8_s_30/,.0.8,30,
./cpp/p_0.8_s_35/,.0.8,35,
./cpp/p_0.8_s_40/,.0.8,40,
./cpp/p_0.8_s_45/,.0.8,45,
./cpp/p_0.8_s_5/,.0.8,5,
./cpp/p_0.8_s_50/,.0.8,50,
./cpp/p_0.95_s_10/,.0.95,10,
./cpp/p_0.95_s_15/,.0.95,15,
./cpp/p_0.95_s_20/,.0.95,20,
./cpp/p_0.95_s_25/,.0.95,25,
./cpp/p_0.95_s_30/,.0.95,30,
./cpp/p_0.95_s_35/,.0.95,35,
./cpp/p_0.95_s_40/,.0.95,40,
./cpp/p_0.95_s_45/,.0.95,45,
./cpp/p_0.95_s_5/,.0.95,5,
./cpp/p_0.95_s_50/,.0.95,50,
./cpp/p_0.99_s_10/,.0.99,10,
